Year,Month,Day,Hour,Minute,Temperature,DNI,DHI,Relative Humidity,Wind Speed
2007,1,1,0,30,25.8,0,0,62.59,2.6
2007,1,1,1,30,25,0,0,66.46000000000001,2.6
2007,1,1,2,30,24.1,0,0,70.84,2.5
2007,1,1,3,30,23.3,0,0,74.53,2.3000000000000003
2007,1,1,4,30,22.5,0,0,78.17,2.2
2007,1,1,5,30,21.8,0,0,80.84,2.2
2007,1,1,6,30,21.3,0,0,82.57000000000001,2
2007,1,1,7,30,20.8,0,0,84.35000000000001,2
2007,1,1,8,30,21.5,0,0,80.25,2.7
2007,1,1,9,30,23.8,94,116,67.77,3.4000000000000004
2007,1,1,10,30,26.8,195,236,54.07,3.3000000000000003
2007,1,1,11,30,29.700000000000003,893,87,43.83,2.6
2007,1,1,12,30,32.1,178,451,37.43,1.8
2007,1,1,13,30,33.9,401,457,33.81,1.3
2007,1,1,14,30,35.300000000000004,345,512,31.240000000000002,1.3
2007,1,1,15,30,36.2,737,280,29.52,1.5
2007,1,1,16,30,36.5,567,300,28.89,1.6
2007,1,1,17,30,36,543,248,29.54,1.8
2007,1,1,18,30,34.9,468,211,31.46,2
2007,1,1,19,30,33.300000000000004,413,157,35.08,1.9000000000000001
2007,1,1,20,30,31,182,97,45.5,1.6
2007,1,1,21,30,29.200000000000003,0,0,58.33,1.6
2007,1,1,22,30,28.400000000000002,0,0,58.75,1.9000000000000001
2007,1,1,23,30,27.6,0,0,60.550000000000004,2
2007,1,2,0,30,26.8,0,0,63.14,2.1
2007,1,2,1,30,25.900000000000002,0,0,66.41,2.2
2007,1,2,2,30,25,0,0,69.57000000000001,2.3000000000000003
2007,1,2,3,30,24.3,0,0,71.71000000000001,2.4000000000000004
2007,1,2,4,30,23.6,0,0,74.56,2.5
2007,1,2,5,30,23.200000000000003,0,0,75.83,2.7
2007,1,2,6,30,22.8,0,0,76.94,2.8000000000000003
2007,1,2,7,30,22.5,0,0,78.09,2.8000000000000003
2007,1,2,8,30,22.900000000000002,0,0,76.31,3.1
2007,1,2,9,30,24.400000000000002,541,54,68.98,3.5
2007,1,2,10,30,26.6,767,78,59.39,3.6
2007,1,2,11,30,29.200000000000003,878,91,49.35,3.3000000000000003
2007,1,2,12,30,31.8,598,313,40.75,2.7
2007,1,2,13,30,34,970,104,34.56,2.1
2007,1,2,14,30,35.6,985,106,31.01,1.6
2007,1,2,15,30,36.5,989,102,29.560000000000002,1.4000000000000001
2007,1,2,16,30,36.800000000000004,979,97,28.88,1.5
2007,1,2,17,30,36.6,637,228,28.89,1.7000000000000002
2007,1,2,18,30,35.800000000000004,582,201,30,2
2007,1,2,19,30,34.1,530,139,33.08,1.9000000000000001
2007,1,2,20,30,31.700000000000003,520,50,42.49,1.6
2007,1,2,21,30,29.900000000000002,0,0,54.58,1.9000000000000001
2007,1,2,22,30,29.1,0,0,54.660000000000004,2.5
2007,1,2,23,30,28.5,0,0,56.01,2.9000000000000004
2007,1,3,0,30,27.700000000000003,0,0,59.300000000000004,2.9000000000000004
2007,1,3,1,30,27,0,0,63.14,2.8000000000000003
2007,1,3,2,30,26.200000000000003,0,0,68.21000000000001,2.6
2007,1,3,3,30,25.400000000000002,0,0,72.71000000000001,2.7
2007,1,3,4,30,24.8,0,0,75.49,2.7
2007,1,3,5,30,24.200000000000003,0,0,77.66,2.6
2007,1,3,6,30,23.700000000000003,0,0,80.37,2.5
2007,1,3,7,30,23.5,0,0,81.03,2.7
2007,1,3,8,30,23.8,0,0,79.09,3.2
2007,1,3,9,30,25.1,340,89,72.02,3.7
2007,1,3,10,30,26.700000000000003,457,147,64.12,3.8000000000000003
2007,1,3,11,30,28.5,413,247,56.51,3.6
2007,1,3,12,30,30.400000000000002,166,447,49.96,3.2
2007,1,3,13,30,32.2,312,486,44.56,2.8000000000000003
2007,1,3,14,30,33.7,665,208,40.26,2.5
2007,1,3,15,30,34.6,457,452,37.730000000000004,2.3000000000000003
2007,1,3,16,30,34.9,560,296,36.69,2.3000000000000003
2007,1,3,17,30,34.6,373,387,36.76,2.5
2007,1,3,18,30,33.800000000000004,879,84,38.03,2.6
2007,1,3,19,30,32.300000000000004,375,166,41.49,2.4000000000000004
2007,1,3,20,30,30.200000000000003,546,47,50.9,1.9000000000000001
2007,1,3,21,30,28.5,0,0,62.99,1.8
2007,1,3,22,30,27.6,0,0,65.98,2.1
2007,1,3,23,30,27,0,0,67.13,2.3000000000000003
2007,1,4,0,30,26.5,0,0,67.96000000000001,2.5
2007,1,4,1,30,26,0,0,68.41,2.7
2007,1,4,2,30,25.5,0,0,68.9,2.8000000000000003
2007,1,4,3,30,25,0,0,69.78,2.7
2007,1,4,4,30,24.400000000000002,0,0,71.27,2.6
2007,1,4,5,30,23.8,0,0,73.09,2.6
2007,1,4,6,30,23.3,0,0,74.34,2.7
2007,1,4,7,30,22.8,0,0,75.88,2.8000000000000003
2007,1,4,8,30,23.200000000000003,0,0,73.67,3.1
2007,1,4,9,30,24.900000000000002,553,50,65.22,3.5
2007,1,4,10,30,27.5,780,72,53.94,3.3000000000000003
2007,1,4,11,30,30.400000000000002,884,84,43.25,2.6
2007,1,4,12,30,32.9,943,92,36.22,1.9000000000000001
2007,1,4,13,30,34.800000000000004,689,239,32.67,1.5
2007,1,4,14,30,36.2,612,289,30.52,1.6
2007,1,4,15,30,37,689,312,29.09,1.8
2007,1,4,16,30,37.300000000000004,699,232,28.150000000000002,1.9000000000000001
2007,1,4,17,30,37,421,371,27.92,2
2007,1,4,18,30,36.2,290,324,28.45,2
2007,1,4,19,30,34.6,397,169,30.66,1.6
2007,1,4,20,30,32.2,13,83,40.300000000000004,1.2000000000000002
2007,1,4,21,30,30.3,0,0,51.29,1.5
2007,1,4,22,30,29.5,0,0,52.120000000000005,2
2007,1,4,23,30,28.8,0,0,54.18,2.5
2007,1,5,0,30,28,0,0,57.97,2.7
2007,1,5,1,30,27.200000000000003,0,0,61.81,2.6
2007,1,5,2,30,26.5,0,0,65.94,2.4000000000000004
2007,1,5,3,30,25.700000000000003,0,0,70.39,2.4000000000000004
2007,1,5,4,30,25.1,0,0,73.74,2.4000000000000004
2007,1,5,5,30,24.6,0,0,76.08,2.4000000000000004
2007,1,5,6,30,24.1,0,0,77.74,2.3000000000000003
2007,1,5,7,30,23.8,0,0,79.29,2.1
2007,1,5,8,30,24.400000000000002,0,0,77.04,2.6
2007,1,5,9,30,26.5,158,105,66.55,3.3000000000000003
2007,1,5,10,30,29,765,76,55.56,3.4000000000000004
2007,1,5,11,30,31.5,373,302,46.13,3.1
2007,1,5,12,30,33.5,630,233,39.67,2.7
2007,1,5,13,30,35,643,268,35.24,2.2
2007,1,5,14,30,36,606,293,32.160000000000004,1.7000000000000002
2007,1,5,15,30,36.5,260,538,30.37,1.4000000000000001
2007,1,5,16,30,36.5,683,305,29.68,1.3
2007,1,5,17,30,35.7,235,444,30.46,1.4000000000000001
2007,1,5,18,30,34.5,323,280,32.4,1.5
2007,1,5,19,30,32.9,373,181,37.32,1.3
2007,1,5,20,30,31,22,94,50.910000000000004,1.1
2007,1,5,21,30,29.6,0,0,58.83,1.3
2007,1,5,22,30,29,0,0,59.58,1.5
2007,1,5,23,30,28.3,0,0,61.83,1.7000000000000002
2007,1,6,0,30,27.6,0,0,64.42,1.9000000000000001
2007,1,6,1,30,26.8,0,0,67.65,1.9000000000000001
2007,1,6,2,30,26,0,0,71.24,1.9000000000000001
