Year,Month,Day,Hour,Minute,Temperature,DHI,DNI,Relative Humidity,Surface Albedo,Wind Speed
2020,1,1,0,30,23.200000000000003,0,0,92.71000000000001,0.17,1.7000000000000002
2020,1,1,1,30,23,0,0,94.03,0.17,1.6
2020,1,1,2,30,22.900000000000002,0,0,94.8,0.17,1.3
2020,1,1,3,30,22.900000000000002,0,0,95.2,0.17,0.9
2020,1,1,4,30,22.8,0,0,96.26,0.17,0.7000000000000001
2020,1,1,5,30,22.700000000000003,0,0,96.97,0.17,0.6000000000000001
2020,1,1,6,30,22.6,0,0,97.08,0.17,0.7000000000000001
2020,1,1,7,30,22.6,0,0,96.76,0.17,0.9
2020,1,1,8,30,23.1,5,31,93.97,0.17,1.4000000000000001
2020,1,1,9,30,24.200000000000003,57,519,88.59,0.17,2.1
2020,1,1,10,30,25.900000000000002,81,748,79.75,0.17,2.7
2020,1,1,11,30,28,235,476,68.56,0.17,3
2020,1,1,12,30,29.900000000000002,345,352,58.61,0.17,3.1
2020,1,1,13,30,31.3,402,342,52.230000000000004,0.17,3.1
2020,1,1,14,30,32.2,474,252,48.24,0.17,2.9000000000000004
2020,1,1,15,30,32.6,228,744,46.15,0.17,2.7
2020,1,1,16,30,32.6,343,480,45.52,0.17,2.5
2020,1,1,17,30,32,168,784,46.93,0.17,2.5
2020,1,1,18,30,31.1,138,734,49.800000000000004,0.17,2.7
2020,1,1,19,30,29.700000000000003,112,609,55.47,0.17,2.7
2020,1,1,20,30,27.8,95,94,66.29,0.17,2.6
2020,1,1,21,30,26.200000000000003,0,0,76.10000000000001,0.17,2.8000000000000003
2020,1,1,22,30,25.200000000000003,0,0,82.29,0.17,2.9000000000000004
2020,1,1,23,30,24.6,0,0,86.74,0.17,2.7
2020,1,2,0,30,24.200000000000003,0,0,89.54,0.16,2.4000000000000004
2020,1,2,1,30,23.900000000000002,0,0,91.39,0.16,2.4000000000000004
2020,1,2,2,30,23.6,0,0,92.42,0.16,2.3000000000000003
2020,1,2,3,30,23.3,0,0,93.61,0.16,2.2
2020,1,2,4,30,23.200000000000003,0,0,94.10000000000001,0.16,1.9000000000000001
2020,1,2,5,30,23,0,0,95.71000000000001,0.16,1.8
2020,1,2,6,30,22.900000000000002,0,0,96.11,0.16,1.9000000000000001
2020,1,2,7,30,22.700000000000003,0,0,96.73,0.16,1.9000000000000001
2020,1,2,8,30,22.8,2,0,95.91,0.16,2
2020,1,2,9,30,23.3,19,0,93.73,0.16,2.2
2020,1,2,10,30,23.900000000000002,138,12,91.27,0.16,2.4000000000000004
2020,1,2,11,30,24.700000000000003,268,56,87.24,0.16,2.6
2020,1,2,12,30,25.700000000000003,355,123,81.62,0.16,2.6
2020,1,2,13,30,26.6,351,463,75.94,0.16,2.3000000000000003
2020,1,2,14,30,27,341,494,72.9,0.16,2.1
2020,1,2,15,30,27.200000000000003,410,272,71.89,0.16,2
2020,1,2,16,30,27.1,52,0,72.86,0.16,1.9000000000000001
2020,1,2,17,30,26.700000000000003,264,21,75.24,0.16,1.7000000000000002
2020,1,2,18,30,26.1,117,784,78.91,0.16,1.4000000000000001
2020,1,2,19,30,25.400000000000002,143,474,84.8,0.16,1.1
2020,1,2,20,30,24.900000000000002,79,11,88.58,0.16,0.8
2020,1,2,21,30,24.400000000000002,0,0,92.92,0.16,0.7000000000000001
2020,1,2,22,30,24.200000000000003,0,0,94.16,0.16,0.6000000000000001
2020,1,2,23,30,24,0,0,94.16,0.16,0.6000000000000001
2020,1,3,0,30,23.8,0,0,94.76,0.16,0.6000000000000001
2020,1,3,1,30,23.700000000000003,0,0,94.69,0.16,0.6000000000000001
2020,1,3,2,30,23.5,0,0,95.19,0.16,0.6000000000000001
2020,1,3,3,30,23.3,0,0,95.97,0.16,0.7000000000000001
2020,1,3,4,30,23.1,0,0,96.64,0.16,0.8
2020,1,3,5,30,23,0,0,96.59,0.16,0.9
2020,1,3,6,30,22.8,0,0,97.09,0.16,0.8
2020,1,3,7,30,22.700000000000003,0,0,97.2,0.16,0.7000000000000001
2020,1,3,8,30,23,2,0,95.32000000000001,0.16,0.9
2020,1,3,9,30,23.8,58,0,92.09,0.16,1.3
2020,1,3,10,30,24.900000000000002,174,7,87.78,0.16,1.7000000000000002
2020,1,3,11,30,26,313,205,82.63,0.16,1.9000000000000001
2020,1,3,12,30,27,407,282,77.42,0.16,2.2
2020,1,3,13,30,27.700000000000003,446,68,72.68,0.16,2.3000000000000003
2020,1,3,14,30,28.1,374,3,69.62,0.16,2.4000000000000004
2020,1,3,15,30,28.3,302,4,68.05,0.16,2.3000000000000003
